name,lat,lon,difficulty,national_park
Bright Angel Point Trail,36.19703,-112.0525,1,Grand Canyon National Park
Wasson Peak Trail,32.24669,-111.167,3,Saguaro National Park
Indian Garden via Bright Angel Trail,36.05745,-112.1443,5,Grand Canyon National Park
Blue Mesa Trail,34.93947,-109.7563,1,Petrified Forest National Park
King Canyon Trail to Wasson Peak,32.24717,-111.1671,3,Saguaro National Park
Grandview Trail Loop,35.99805,-111.9877,5,Grand Canyon National Park
Hermit Trail,36.06193,-112.2111,5,Grand Canyon National Park
Grandview Point to Horseshoe Mesa Trail,35.99809,-111.9877,3,Grand Canyon National Park
North Kaibab Trail to Roaring Springs,36.21687,-112.0567,5,Grand Canyon National Park
Wasson Peak via Sweetwater Trail,32.28866,-111.1211,5,Saguaro National Park
Douglas Spring Trail,32.23518,-110.6868,3,Saguaro National Park
South Kaibab Trail to Phantom Ranch,36.05298,-112.083,5,Grand Canyon National Park
Widforss Trail,36.22375,-112.065,3,Grand Canyon National Park
Transept Trail,36.19695,-112.0528,3,Grand Canyon National Park
Yavapai Point via Rim Trail,36.06045,-112.1086,1,Grand Canyon National Park
Bright Angel Trail: South Rim to Phantom Ranch,36.05742,-112.1442,5,Grand Canyon National Park
Cape Royal Trail,36.12234,-111.9494,1,Grand Canyon National Park
Rim-to-Rim: North Kaibab to South Kaibab Trailhead,36.21689,-112.0567,5,Grand Canyon National Park
Tanque Verde Ridge Trail,32.16559,-110.723,5,Saguaro National Park
Rim to Rim Trail Segment: Indian Garden to Colorado River,36.07836,-112.127,5,Grand Canyon National Park
North Kaibab Trail to Colorado River,36.21704,-112.0567,5,Grand Canyon National Park
Cape Final,36.14579,-111.935,1,Grand Canyon National Park
Mica View Loop Trail,32.2207,-110.726,1,Saguaro National Park
Phantom Ranch to Ribbon Falls via North Kaibab Trail,36.10656,-112.0942,5,Grand Canyon National Park
Hugh Norris Trail,32.27146,-111.203,3,Saguaro National Park
North Kaibab Trail to Supai Tunnel and Coconino Overlook,36.21724,-112.0565,3,Grand Canyon National Park
Crystal Forest Trail,34.86326,-109.7923,1,Petrified Forest National Park
Hermit's Rest Viewpoint  to Santa Maria Spring,36.06065,-112.2121,3,Grand Canyon National Park
South Kaibab to North Kaibab to Bright Angel Trail,36.05299,-112.0835,5,Grand Canyon National Park
Painted Desert Rim Trail,35.08033,-109.7834,1,Petrified Forest National Park
Petrified Forest Scenic Drive,35.06032,-109.7819,3,Petrified Forest National Park
Bright Angel Trail to Phantom Overlook to South Kaibab Trail,36.0575,-112.1441,5,Grand Canyon National Park
South Kaibab Trail to Tip Off,36.05348,-112.0835,5,Grand Canyon National Park
Grand Canyon South Rim Scenic Drive: Cameron to Grand Canyon Village,35.85497,-111.425,1,Grand Canyon National Park
Safford Peak Trail,32.35403,-111.1414,3,Saguaro National Park
Thunder Creek to Deer Creek and Thunder Falls,36.4347,-112.4293,5,Grand Canyon National Park
Rim to Rim: North to South and Ribbon Falls,36.21704,-112.0567,5,Grand Canyon National Park
Gould Mine,32.24761,-111.1671,3,Saguaro National Park
"Douglas Spring, Bridal Wreath Falls, Three Tank, Garwood Loop",32.2351,-110.6869,3,Saguaro National Park
Grand Canyon Rim Village to Hermit's Rest,36.05711,-112.1444,1,Grand Canyon National Park
Desert View Visitor Center Trail,36.04123,-111.8269,1,Grand Canyon National Park
Coconino Overlook,36.21714,-112.0565,1,Grand Canyon National Park
Uncle Jim Trail,36.21729,-112.0564,1,Grand Canyon National Park
Dripping Springs via Dripping Springs and Hermit Trail,36.06043,-112.212,5,Grand Canyon National Park
Giant Logs Trail,34.81544,-109.8655,1,Petrified Forest National Park
Onyx Bridge Trail,35.0837,-109.789,3,Petrified Forest National Park
North Kaibab Trail to Redwall Bridge,36.21699,-112.0566,5,Grand Canyon National Park
Valley View Overlook Trail,32.27698,-111.197,1,Saguaro National Park
Cactus Forest Loop Drive,32.18,-110.7362,1,Saguaro National Park
Long Logs and Agate House Loop Trail,34.81468,-109.8618,1,Petrified Forest National Park
Tanner Trail,36.03276,-111.8532,5,Grand Canyon National Park
Loma Verde and Squeeze Pen Loop,32.20343,-110.7098,3,Saguaro National Park
Hope Camp,32.13315,-110.6871,3,Saguaro National Park
"South Kaibab, Tonto and Bright Angel Trail",36.05271,-112.0839,5,Grand Canyon National Park
Garwood Trail,32.23517,-110.6867,1,Saguaro National Park
Garwood Dam To Douglas Spring Loop Trail,32.23514,-110.6869,1,Saguaro National Park
South to North Kaibab Trail,36.05355,-112.0834,5,Grand Canyon National Park
Tanque Verde Ridge,32.16556,-110.723,3,Saguaro National Park
Freeman Homestead Nature Trail,32.16531,-110.7258,1,Saguaro National Park
Point Imperial,36.27911,-111.9778,1,Grand Canyon National Park
Sendero Esperanza Trail,32.28482,-111.1674,3,Saguaro National Park
Douglas Spring to Three Tank Trail Junction,32.23516,-110.6865,3,Saguaro National Park
West Rim Trail: Hermits Rest to Powell Point,36.06248,-112.2103,1,Grand Canyon National Park
Saguaro National Park West and Old Tucson Studios Scenic Drive,32.23601,-110.984,1,Saguaro National Park
Roosevelt Point Trail,36.21822,-111.9523,1,Grand Canyon National Park
Petroglyphs at King Canyon,32.24719,-111.1671,3,Saguaro National Park
South Bass Trail,36.18375,-112.3766,5,Grand Canyon National Park
Puerco Pueblo Trail,34.97612,-109.7939,1,Petrified Forest National Park
Cactus Forest Trail,32.22032,-110.725,3,Saguaro National Park
The Escalante Route Trail,36.03302,-111.8521,5,Grand Canyon National Park
Nankoweap Trail,36.27949,-111.9788,5,Grand Canyon National Park
Devil's Playground Loop,35.0168,-109.8843,3,Petrified Forest National Park
"Pink Hill, Loma Verde, Cholla Trail, and Cactus Forest Loop",32.22086,-110.7261,1,Saguaro National Park
Hermit Trail to Dripping Springs,36.06024,-112.2122,5,Grand Canyon National Park
Ridge View Trail,32.1332,-110.6871,3,Saguaro National Park
Cliff Springs Trail,36.12463,-111.94782,1,Grand Canyon National Park
Walhalla Overlook,36.1319,-111.9422,1,Grand Canyon National Park
Widforss Trail - Short Option,36.22388,-112.0653,1,Grand Canyon National Park
Mica View Trail to Cactus Forest Trail,32.22093,-110.7261,1,Saguaro National Park
Clear Creek Trail,36.05353,-112.0834,5,Grand Canyon National Park
Desert Ecology Trail,32.20326,-110.725,1,Saguaro National Park
New Hance Trail,36.0046,-111.9242,5,Grand Canyon National Park
Bright Angel Trail to Tonto Trail,36.05701,-112.1443,5,Grand Canyon National Park
Old Jasper Forest Road,34.88855,-109.8071,1,Petrified Forest National Park
Wildhorse Trail,32.23512,-110.6869,3,Saguaro National Park
Tanque Verde Falls Viewpoint,32.25736,-110.65,3,Saguaro National Park
Hermit's Rest Viewpoint to Tonto Trail to Bright Angel Trailhead,36.06109,-112.2116,5,Grand Canyon National Park
Desert Discovery Nature Trail,32.26248,-111.2104,1,Saguaro National Park
Boucher Trail to Hermit Trail Loop,36.06059,-112.2121,5,Grand Canyon National Park
Thunderbird Trail,32.28871,-111.1211,3,Saguaro National Park
"Rim Trail, South Kaibab and Bright Angel Loop",36.06,-112.1066,5,Grand Canyon National Park
Mather Campground Trail,36.04858,-112.1166,1,Grand Canyon National Park
Cactus Wren Trail,32.29079,-111.2083,3,Saguaro National Park
Tonto Trail: New Hance Trail to Grandview Point,35.98342,-111.94,5,Grand Canyon National Park
South to North Kalbab Trail,36.05288,-112.083,5,Grand Canyon National Park
Painted Desert Rim Trail to Kachina Point,35.08032,-109.7835,1,Petrified Forest National Park
Tusayan Ruin Trail,36.01319,-111.8664,1,Grand Canyon National Park
"Scenic, Passey, Packrat Trail Loop",32.35253,-111.1399,1,Saguaro National Park
Ribbon Falls from the North Rim via North Kaibob Trail,36.21704,-112.0567,5,Grand Canyon National Park
Mica Mountain via Douglas Spring and Cow Head Saddle Trail,32.23516,-110.6865,5,Saguaro National Park
Redington OHV Trail,32.45169,-110.4875,1,Saguaro National Park
Boucher Trail,36.06032,-112.2123,5,Grand Canyon National Park
Hope Camp Coyote Wash and Ruiz Trail Loop,32.13299,-110.687,3,Saguaro National Park
Ken Patrick Trail North from Point Imperial,36.27926,-111.979,1,Grand Canyon National Park
Tanque Verde Falls Beach,32.25798,-110.6555,1,Saguaro National Park
Grand Canyon Bridle Trail,36.19815,-112.0529,1,Grand Canyon National Park
Shantz and Mica View Trail,32.22061,-110.7264,3,Saguaro National Park
Tonto Trail from Grandview Point to South Kaibab Trailhead,35.99763,-111.9876,5,Grand Canyon National Park
Phantom Ranch to Phantom Overlook,36.10485,-112.0948,3,Grand Canyon National Park
Monument Point via Bill Hall Trail,36.43466,-112.4297,1,Grand Canyon National Park
Martha's Butte,34.84845,-109.801,3,Petrified Forest National Park
Coyote Pass Loop Trail,32.32734,-111.13,1,Saguaro National Park
Waldron Trail,36.06033,-112.2123,5,Grand Canyon National Park
Lava Falls Trail,36.21165,-113.0835,5,Grand Canyon National Park
Turkey Creek,32.15777,-110.4754,5,Saguaro National Park
Cactus Canyon and Gila Monster Loop via Thunderbird Trail,32.28874,-111.1212,3,Saguaro National Park
Panther Peak Wash - Roadrunner Loop,32.31925,-111.1659,3,Saguaro National Park
Manning Camp Trail,32.15782,-110.4757,5,Saguaro National Park
Tanner Trail to Grandview Trail and Grandview Point,36.03297,-111.8533,5,Grand Canyon National Park
Blue Hills Loop,34.94323,-109.7776,3,Petrified Forest National Park
Grandview Point to Horseshoe Mesa East Trail,35.99716,-111.9881,5,Grand Canyon National Park
Tonto Trail to Monument Creek,36.05741,-112.1443,5,Grand Canyon National Park
Martha's Butte Off-Trail Route,34.83962,-109.8082,1,Petrified Forest National Park
Vertical Cliffs Trail to Abington Trail Loop,32.32319,-111.096,1,Saguaro National Park
Bajada Loop Drive,32.26904,-111.2163,1,Saguaro National Park
"Hope Campe, Ruiz Trail, and Coyote Wash Trail",32.1333,-110.6871,3,Saguaro National Park
Wild Horse to Garwood Dam,32.23504,-110.687,1,Saguaro National Park
Cam-Boh Trail,32.32774,-111.13,3,Saguaro National Park
Hermit Trail to Granite Rapids Campground,36.06077,-112.2124,5,Grand Canyon National Park
Tanner Beach and Lava Rapids Trail,36.03309,-111.852,3,Grand Canyon National Park
Ken Patrick Trail South from Point Imperial,36.27899,-111.9782,5,Grand Canyon National Park
"Shantz, Mesquite, Loma and Cholla Trail Loop",32.2208,-110.7264,1,Saguaro National Park
"South Kaibab, North Kaibab and Bright Angel Trail",36.05347,-112.0834,5,Grand Canyon National Park
Cow Head Saddle Trail,32.16541,-110.7239,5,Saguaro National Park
Hermit Camp to Monument Creek Camp via Tonto Trail,36.08161,-112.2129,3,Grand Canyon National Park
Walhalla Ruins,36.13336,-111.9414,1,Grand Canyon National Park
Deer Creek to Colorado River,36.43467,-112.43,5,Grand Canyon National Park
Ironwood Forest Picture Rocks Wash Trail,32.32733,-111.1305,3,Saguaro National Park
Blue Springs Trail,36.04021,-111.8276,3,Grand Canyon National Park
North Bass Trail,36.33558,-112.3499,5,Grand Canyon National Park
South Canyon,36.47407,-111.928,5,Grand Canyon National Park
Arizona Trail #36,35.95748,-111.9549,5,Grand Canyon National Park
South Bass to Hermits Rest via Tonto West,36.18378,-112.3765,5,Grand Canyon National Park
Encinas Trail from Ez-Kim-In-Zin Picnic Area,32.28555,-111.1696,3,Saguaro National Park
Tanner and Beamer Trail,36.03308,-111.852,3,Grand Canyon National Park
Palisades Creek Trail,36.033,-111.8521,3,Grand Canyon National Park
Powell Plateau Trail,36.33552,-112.3498,3,Grand Canyon National Park
First Forest Point,34.88782,-109.8078,3,Petrified Forest National Park
Valley View and Wild Dog Trails,32.27707,-111.1977,3,Saguaro National Park
"Shantz, Vanover, Loma Verde, Cholla, Cactus Forest Trail Loop",32.22095,-110.72,3,Saguaro National Park
Tiyo Point Trail,36.22079,-112.0615,3,Grand Canyon National Park
"Hugh Norris, Sendero Esperanza, Dobbie Wash Loop",32.27153,-111.2029,3,Saguaro National Park
Hope Camp to Grass Shack Camp Trail,32.13303,-110.687,5,Saguaro National Park
AZ Trail Segment 37,35.95748,-111.955,3,Grand Canyon National Park
Schmutz Spring,36.34069,-112.9257,3,Grand Canyon National Park
Horseshoe Mesa Loop via Grand View Trail,35.99855,-111.9873,5,Grand Canyon National Park
Arizona Trail: Savilla Campground to Saguaro National Park,32.06403,-110.6225,3,Saguaro National Park
Thunder River Trail from Indian Hollow Parking Area,36.45894,-112.4882,5,Grand Canyon National Park
North Bass Trail to Muav Cabin,36.33556,-112.3498,1,Grand Canyon National Park
"Douglas Spring, Converse, Garwood  and Wildhorse Loop",32.23514,-110.6869,1,Saguaro National Park
Redington Pass Chiva Falls OHV Loop,32.30612,-110.5741,3,Saguaro National Park
Sunset Trail,34.5256,-93.0363,5,Hot Springs National Park
West Mountain Trail,34.51279,-93.0583,3,Hot Springs National Park
Goat Rock Trail,34.52802,-93.0399,3,Hot Springs National Park
Gulpha Gorge Trail,34.52556,-93.0364,3,Hot Springs National Park
The Grand Promenade and Side Trails,34.51165,-93.0531,3,Hot Springs National Park
Dead Chief Trail,34.51359,-93.0523,3,Hot Springs National Park
Hot Springs Mountain Trail,34.52598,-93.0364,1,Hot Springs National Park
Peak Trail,34.51334,-93.0527,1,Hot Springs National Park
Sugarloaf Mountain Via Sunset Trail,34.50846,-93.0685,3,Hot Springs National Park
Goat Rock via Dead Chief Trail,34.52559,-93.0361,3,Hot Springs National Park
Grand Promenade,34.51656,-93.0523,1,Hot Springs National Park
Hot Springs Sunset Trail Full Circle,34.5117,-93.0535,5,Hot Springs National Park
Sunset Trail: Sugarloaf Mountain Section,34.51403,-93.0938,3,Hot Springs National Park
Upper Dogwood Trail,34.52373,-93.041,1,Hot Springs National Park
Mountaintop Loop,34.51813,-93.0501,1,Hot Springs National Park
Lower Dogwood Trail,34.52375,-93.0416,1,Hot Springs National Park
Vernal and Nevada Falls via the Mist Trail,37.73495,-119.5661,3,Yosemite National Park
Upper Yosemite Falls Trail,37.74237,-119.6022,5,Yosemite National Park
Half Dome Trail,37.73465,-119.5658,5,Yosemite National Park
Moro Rock Trail,36.54685,-118.7656,3,Sequoia National Park
Lower Yosemite Falls Trail,37.74587,-119.5926,1,Yosemite National Park
Clouds Rest Trail via Tenaya Lake,37.82585,-119.4704,5,Yosemite National Park
Four Mile Trail,37.73388,-119.6018,5,Yosemite National Park
Sentinel Dome Trail,37.71243,-119.5863,1,Yosemite National Park
Glacier Point Trail,37.72765,-119.5743,1,Yosemite National Park
Vernal Falls,37.73257,-119.5591,3,Yosemite National Park
Ryan Mountain Trail,34.00264,-116.1359,3,Joshua Tree National Park
Mirror Lake via Valley Loop Trail,37.73889,-119.5691,1,Yosemite National Park
Tokopah Falls via Tokopah Valley Trail,36.60485,-118.724,3,Sequoia National Park
Lassen Peak,40.47458,-121.505,5,Lassen Volcanic National Park
Mist Falls Trail,36.79495,-118.5831,3,Kings Canyon National Park
"Heather Lake, Emerald Lake, and Pear Lake Trail via Watchtower and Pear Lake Trails",36.59655,-118.7343,5,Sequoia National Park
Barker Dam Nature Trail,34.02511,-116.1417,1,Joshua Tree National Park
General Sherman Tree Trail,36.58498,-118.7497,1,Sequoia National Park
Bridalveil Fall Trail,37.71658,-119.6511,1,Yosemite National Park
Marble Falls Trail,36.51464,-118.8008,3,Sequoia National Park
Hidden Valley Nature Trail,34.01234,-116.168,1,Joshua Tree National Park
Taft Point and The Fissures,37.71241,-119.5863,1,Yosemite National Park
Rae Lakes Trail,36.79468,-118.5828,5,Kings Canyon National Park
Congress Trail,36.58448,-118.7498,1,Sequoia National Park
Cathedral Lakes Trail,37.87338,-119.3826,3,Yosemite National Park
Lost Palms Oasis,33.73685,-115.8105,3,Joshua Tree National Park
Vernal and Nevada Falls via the Panorama Trail,37.72731,-119.5747,5,Yosemite National Park
Condor Gulch Trail to High Peaks Trail Loop,36.48145,-121.1817,5,Pinnacles National Park
Arch Rock Nature Trail,33.98414,-116.0165,1,Joshua Tree National Park
Columbia Rock Trail,37.74208,-119.6019,3,Yosemite National Park
Porcupine Creek Trail to Indian Ridge Natural Arch to North Dome,37.80649,-119.5452,3,Yosemite National Park
Fortynine Palms Oasis Trail,34.11922,-116.1119,3,Joshua Tree National Park
John Muir Trail via Yosemite Valley,37.73476,-119.5662,5,Yosemite National Park
Lost Horse Mine Loop Trail,33.95082,-116.1598,3,Joshua Tree National Park
Mariposa Grove of Giant Sequoias Trail,37.50221,-119.6106,3,Yosemite National Park
Chilnualna Falls Trail,37.54839,-119.63,3,Yosemite National Park
Badwater Basin Salt Flats Trail,36.23035,-116.766,1,Death Valley National Park
Sentinel Dome and Taft Point Loop,37.71247,-119.5863,3,Yosemite National Park
Nevada Falls,37.73251,-119.559,5,Yosemite National Park
Tall Trees Grove Loop Trail,41.20785,-123.9931,3,Redwood National Park
Skull Rock Nature Trail,33.99797,-116.0599,1,Joshua Tree National Park
Clouds Rest Trail from Yosemite Valley,37.73467,-119.5663,5,Yosemite National Park
General Grant Loop Trail,36.74697,-118.9731,1,Kings Canyon National Park
El Capitan Trail (historical),37.74237,-119.602,5,Yosemite National Park
Alta Peak Trail,36.59662,-118.7344,5,Sequoia National Park
Mineral King to Eagle Lake Trail,36.44886,-118.5954,3,Sequoia National Park
Big Trees Trail,36.56465,-118.7732,1,Sequoia National Park
Giant Forest Loop Trail,36.58499,-118.7495,1,Sequoia National Park
Wapama Falls Trail,37.94641,-119.787,3,Yosemite National Park
Mesquite Flat Sand Dunes Trail,36.60611,-117.115,1,Death Valley National Park
Cholla Cactus Garden Nature Trail,33.92531,-115.9289,1,Joshua Tree National Park
Kings Creek Falls Trail,40.46067,-121.459,3,Lassen Volcanic National Park
Yosemite Point,37.74249,-119.6023,5,Yosemite National Park
Tuolumne Grove Trail,37.75803,-119.8048,3,Yosemite National Park
Crystal Cave Trail,36.58576,-118.8269,3,Sequoia National Park
Lady Bird Johnson Grove Trail,41.30386,-124.0184,1,Redwood National Park
Heather Lake via Watchtower Trail,36.59655,-118.7342,3,Sequoia National Park
Cinder Cone Nature Trail,40.56491,-121.3018,5,Lassen Volcanic National Park
Mount Dana Summit Trail,37.91082,-119.2575,5,Yosemite National Park
Zumwalt Meadow And Roaring River Falls,36.78362,-118.6221,1,Kings Canyon National Park
Old Pinnacles Trail Loop,36.49183,-121.209,3,Pinnacles National Park
Willow Hole Trail,34.04111,-116.1857,3,Joshua Tree National Park
High Sierra Trail: Crescent Meadow to Whitney Portal,36.55468,-118.7487,5,Sequoia National Park
Paradise Valley Trail,36.79469,-118.5829,3,Kings Canyon National Park
Mount Hoffman Trail,37.83276,-119.4909,5,Yosemite National Park
Twin Lakes Trail,36.60461,-118.7252,5,Sequoia National Park
Tenaya Lake Trail,37.82576,-119.47,1,Yosemite National Park
Brokeoff Mountain Trail,40.43107,-121.5362,5,Lassen Volcanic National Park
Zabriskie Point,36.42095,-116.8098,1,Death Valley National Park
Mastodon Peak Loop Trail,33.73697,-115.81,1,Joshua Tree National Park
Redwood Canyon Sugar Bowl Trail,36.70761,-118.9209,3,Kings Canyon National Park
Crescent and Log Meadows Trail,36.55471,-118.7488,1,Sequoia National Park
Bear Gulch Day Use Area to Reservoir via Rim Trail,36.48131,-121.1816,3,Pinnacles National Park
Split Rock Loop Trail,34.00947,-116.0557,1,Joshua Tree National Park
Sentinel Meadow Cook's Meadow Loop Trail,37.74439,-119.597,1,Yosemite National Park
Black Rock Canyon to Panorama Loop Trail,34.0752,-116.388,3,Joshua Tree National Park
Mineral King to Little Five Lakes Trail,36.45329,-118.5967,5,Sequoia National Park
Illilouette Falls Trail,37.72713,-119.5743,3,Yosemite National Park
Dante's View Trail,36.22072,-116.7264,1,Death Valley National Park
Big Baldy Ridge Trail,36.69705,-118.8787,3,Sequoia National Park
Tuolumne Meadows to Glen Aulin High Sierra Camp,37.87679,-119.3461,3,Yosemite National Park
Telescope Peak Trail,36.22988,-117.0682,5,Death Valley National Park
Mount Langley,36.45331,-118.1697,5,Sequoia National Park
Hetch Hetchy Trail to Rancheria Falls,37.94615,-119.7881,5,Yosemite National Park
Valley Floor Loop Trail,37.74467,-119.5973,1,Yosemite National Park
Golden Canyon Trail to Red Cathedral,36.42062,-116.847,3,Death Valley National Park
Lembert Dome Loop,37.87702,-119.353,3,Yosemite National Park
Little Baldy Trail,36.62006,-118.8092,3,Sequoia National Park
Inspiration Point Trail,37.71536,-119.6768,3,Yosemite National Park
High Peaks Trail,36.48421,-121.1664,5,Pinnacles National Park
Mirror Lake from Shuttle Stop 17,37.7394,-119.5595,1,Yosemite National Park
Ten Lakes Trail,37.85207,-119.5758,5,Yosemite National Park
Hanging Rock Trail,36.54919,-118.7684,1,Sequoia National Park
Mill Creek Falls Trail,40.43732,-121.533,3,Lassen Volcanic National Park
Olmsted Point Nature Trail,37.81083,-119.4855,1,Yosemite National Park
Golden Canyon and Gower Gulch Loop via Zabriskie Point,36.4208,-116.8103,3,Death Valley National Park
Manzanita Lake Loop,40.53626,-121.5625,1,Lassen Volcanic National Park
High Sierra Trail to Hamilton Lakes,36.55452,-118.75,5,Sequoia National Park
Sugar Bowl - Redwood Creek Loop,36.70906,-118.9214,3,Kings Canyon National Park
"Hart Tree, Fallen Goliath, Redwood Creek Loop",36.70747,-118.9209,3,Kings Canyon National Park
Devil's Kitchen Trail,40.44312,-121.3974,3,Lassen Volcanic National Park
Mosaic Canyon Trail,36.57185,-117.1442,1,Death Valley National Park
High Peaks & Balconies Cave Loop Trail,36.49216,-121.2099,3,Pinnacles National Park
Boy Scout Trail To Willow Hole Extended Route,34.11311,-116.1558,3,Joshua Tree National Park
Moses Spring Trail to Bear Gulch Reservoir,36.47823,-121.1839,3,Pinnacles National Park
Old Pinnacles Trail to Balconies,36.49497,-121.173,3,Pinnacles National Park
Zumwalt Meadow Loop Trail,36.79375,-118.5983,1,Kings Canyon National Park
Mirror Lake Paved Trail,37.73974,-119.5599,1,Yosemite National Park
Potato Harbor Trail,34.04983,-119.5565,1,Channel Islands National Park
Muir Grove Trail,36.63392,-118.8174,3,Sequoia National Park
Monarch Lakes Trail,36.4533,-118.5967,5,Sequoia National Park
The Maze Loop,34.08116,-116.242,3,Joshua Tree National Park
Death Valley Natural Bridge Road,36.27403,-116.7928,1,Death Valley National Park
Roaring River Falls Trail,36.78377,-118.6221,1,Kings Canyon National Park
Hidden Beach and False Klamath Rock,41.55442,-124.0864,3,Redwood National Park
Grizzly Falls,36.80293,-118.7436,1,Kings Canyon National Park
Darwin Falls Trail via Old Toll Road,36.32748,-117.5147,1,Death Valley National Park
Smugglers Cove Trail,34.04989,-119.5563,3,Channel Islands National Park
Balconies Trail,36.4917,-121.2094,3,Pinnacles National Park
Grizzly Giant Loop Trail,37.50258,-119.6098,1,Yosemite National Park
Sawtooth Pass Trail,36.45329,-118.5967,5,Sequoia National Park
Kibbie Lake Trail,37.99004,-119.8867,5,Yosemite National Park
Gaylor Lakes Trail,37.91008,-119.2581,5,Yosemite National Park
Juniper Canyon Trail to High Peaks,36.49166,-121.2092,5,Pinnacles National Park
Wall Street Mill Trail,34.02475,-116.1418,1,Joshua Tree National Park
Eagle View Trail,36.55469,-118.748,3,Sequoia National Park
Dewey Point Trail,37.66167,-119.6613,3,Yosemite National Park
Gower Gulch Loop Trail,36.42055,-116.8476,3,Death Valley National Park
Desolation Canyon Trail,36.39584,-116.8387,3,Death Valley National Park
Redwood Creek Trail,41.29883,-124.033,3,Redwood National Park
John Muir Trail in Kings Canyon,37.61304,-119.0751,5,Kings Canyon National Park
Snow Creek Falls Trail,37.74019,-119.5642,5,Yosemite National Park
May Lake High Sierra Camp from Tioga Pass Road,37.81165,-119.5089,3,Yosemite National Park
Black Rock Canyon Trail to Warren Peak,34.07138,-116.3911,5,Joshua Tree National Park
Ladybug Camp Trail,36.35001,-118.7646,3,Sequoia National Park
El Capitan Loop,37.74212,-119.6021,5,Yosemite National Park
Artist Point Trail,37.71508,-119.6769,3,Yosemite National Park
Franklin Lakes Trail,36.45305,-118.5964,5,Sequoia National Park
Grand Canyon of the Tuolumne,37.87,-119.6487,3,Yosemite National Park
Keys View Loop to Inspiration Point Trail,33.92689,-116.1873,1,Joshua Tree National Park
Young Lakes Trail Loop,37.87746,-119.3532,3,Yosemite National Park
May Lake,37.83276,-119.4909,3,Yosemite National Park
Elizabeth Lake Trail,37.87052,-119.3559,3,Yosemite National Park
Hetch Hetchy Loop via Lake Vernon,37.94559,-119.7884,5,Yosemite National Park
North View and Maze Trails,34.08105,-116.2419,3,Joshua Tree National Park
Panorama Trail to Little Yosemite Valley,37.72704,-119.5749,5,Yosemite National Park
Big Stump Loop Trail,36.72091,-118.9705,1,Kings Canyon National Park
Balconies Cave Trail,36.49191,-121.2095,3,Pinnacles National Park
